#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Draft,Round,Overall,Rk,Age,BTN Code,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,PTS,PPG,Last Year League,Last Year PPG,+/-,Sh,Miss,Blkd,Sh%,CoSH%,Dist,Wrist,Snap,Slap,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
9,Aug 13 '94,Ostervala,,SWE,73,186,R,2012,1,11,Y,19,FILIPFORSBERG,Filip,Forsberg,NSH,,,C/RW,13,1,4,5,0.384615385,SweHL,0.868421053,-8,20,9,9,5.0%,2.6%,34.7,15,1,1,148.3,11.4,187,14.4,0.79,49,19.83,5.3%,21.1%,26.3%,0,0,0.0%,0,8,6,2,9,6,6,3.2,2.4,0.8,3.6,2.4,2.4,4,2,0,0,0,0,-1.2,1,0,0%,0,0,2,0,0,0,0,0,0,0%,3,0.3,-0.2,0.1,0.01,0.04,4,2.8,-7.4,0.1,-0.5,-0.3,-0.7,-0.05,-0.28,,,,16,"Lower body, Upper body",1460833,,-3.3
57,Jul 17 '91,Wakaw,SK,CAN,72,189,R,2009,4,96,Y,22,LINDENVEY,Linden,Vey,LAK,,,RW,18,0,5,5,0.277777778,AHL,1.11627907,0,8,8,4,0.0%,0.0%,28.4,4,1,2,218.4,12.1,283,15.7,0.77,40,10.85,0.0%,16.1%,16.1%,55,69,44.4%,11.8,11,2,1,8,7,7,3.0,0.5,0.3,2.2,1.9,1.9,0,0,0,0,0,0,2.7,1,0,0%,0,0,5,0,0,0,0,0,0,0%,3,-0.1,0.3,0.2,0.01,0.05,3.8,4.2,-1.3,0,0.6,-0.3,0.3,0.02,0.08,,,,,,900000,,-1.3
20,Jul 25 '89,Toronto,ON,CAN,75,240,L,2007,6,172,Y,24,LUKEGAZDIC,Luke,Gazdic,EDM,,,LW,67,2,2,4,0.059701493,AHL,0.186440678,-8,30,9,12,6.7%,3.9%,35.0,14,7,2,388.7,5.8,603,9.0,0.64,21,3.16,1.9%,1.9%,3.8%,3,0,100.0%,0,41,103,22,9,11,6,6.3,15.9,3.4,1.4,1.7,0.9,127,11,15,2,1,0,-3.7,,, ,,1,16,0,0,0,0,0,0,0%,2,-0.4,0.2,-0.3,0.00,-0.05,7.7,7.1,-5,-1.8,-0.1,0,-1.8,-0.03,-0.28,,,,9,"Shoulder, Groin",635000,,-2.9
55,Oct 27 '94,Turku,,FIN,76,219,R,2013,1,8,Y,19,RASMUSRISTOLAINEN,Rasmus,Ristolainen,BUF,,,D,34,2,2,4,0.117647059,SM-Liiga,0.288461538,-15,52,16,19,3.8%,2.3%,55.3,23,9,18,650.0,19.1,796,23.4,0.82,36,3.35,6.9%,6.9%,13.8%,0,1,0.0%,0,45,66,32,16,19,9,4.2,6.1,3.0,1.5,1.8,0.8,6,3,0,0,0,0,3.8,,, ,,0,7,0,0,0,0,0,0,0%,2,-0.1,0.6,0.5,0.01,0.05,11.6,12.3,-6.4,-0.9,-0.4,0,-1.3,-0.04,-0.12,,,,,,1775000,,-4.4
46,May 25 '91,Kitchener,ON,CAN,72,209,R,2009,3,72,Y,22,MICHAELLATTA,Michael,Latta,WSH,,,C,17,1,3,4,0.235294118,AHL,0.5,0,6,3,3,16.7%,8.3%,22.8,3,0,1,131.1,7.7,204,12.0,0.64,33,15.10,3.6%,10.7%,14.3%,60,55,52.2%,10.1,13,14,2,3,2,3,6.0,6.4,0.9,1.4,0.9,1.4,12,1,2,0,0,0,1.8,,, ,,0,8,0,0,0,0,0,0,0%,5,0.2,0.1,0.3,0.02,0.14,2.6,2.9,0.2,0.4,0.3,0,0.7,0.04,0.32,,,,11,Lower body,785833,,-0.7
84,Nov 05 '93,North Vancouver,BC,CAN,73,187,R,2012,2,50,Y,20,COLTONSISSONS,Colton,Sissons,NSH,,,C/RW,17,1,3,4,0.235294118,AHL,0.709677419,0,13,6,2,7.7%,4.8%,26.7,5,3,0,180.5,10.6,262,15.4,0.69,22,7.31,2.4%,7.1%,9.5%,70,74,48.6%,14,12,9,9,6,2,6,4.0,3.0,3.0,2.0,0.7,2.0,4,2,0,0,0,0,-1.3,,, ,,1,5,0,0,0,0,0,0,0%,3,0.1,0.2,0.3,0.02,0.10,3.2,3.2,0.7,0.1,0.4,0,0.5,0.03,0.17,,,,,,878333,,-1.0
67,May 05 '93,Sundbyberg,,SWE,73,192,R,2011,1,30,Y,20,RICKARDRAKELL,Rickard,Rakell,ANA,,,C/RW,18,0,4,4,0.222222222,AHL,0.804347826,-3,22,18,14,0.0%,0.0%,27.8,13,3,1,211.0,11.7,281,15.6,0.75,65,18.60,0.0%,5.2%,5.2%,95,99,49.0%,16.7,28,21,4,18,4,5,8.0,6.0,1.1,5.1,1.1,1.4,2,1,0,0,0,0,-0.4,1,0,0%,0,0,5,0,0,0,0,0,0,0%,3,-0.1,0,-0.1,-0.01,-0.03,3.7,3.3,-4.6,-0.3,-0.1,-0.3,-0.7,-0.04,-0.20,,,,,,894167,,-2.3
56,Mar 12 '93,Burnaby,BC,CAN,74,210,L,2011,2,57,Y,20,TYLERWOTHERSPOON,Tyler,Wotherspoon,CGY,,,D,14,0,4,4,0.285714286,AHL,0.1875,-3,3,4,10,0.0%,0.0%,60.1,2,0,1,188.3,13.5,259,18.5,0.73,34,10.92,0.0%,14.3%,14.3%,0,0,0.0%,0,12,8,17,4,4,2,3.8,2.5,5.4,1.3,1.3,0.6,4,2,0,0,0,0,-1.1,,, ,,0,2,0,0,0,0,0,0,0%,4,0.2,0.2,0.4,0.03,0.13,3.8,4.3,-1.2,0.5,0.3,0,0.8,0.06,0.25,,,,6,Upper body,925000,,-0.8
22,Jul 25 '92,Lau,,SWE,71,206,L,2010,2,56,Y,21,JOHANLARSSON,Johan,Larsson,BUF,,,LW,28,0,4,4,0.142857143,AHL,0.571428571,0,21,14,8,0.0%,0.0%,31.1,12,3,3,376.7,13.5,491,17.5,0.77,36,5.73,0.0%,5.6%,5.6%,135,150,47.4%,16.9,42,52,19,14,3,9,6.7,8.3,3.0,2.2,0.5,1.4,19,7,1,0,0,0,-1.7,,, ,,0,6,0,0,0,0,0,0,0%,4,-0.6,0.6,0,0.00,0.00,4.7,5.6,2.6,-0.7,0.8,0,0.1,0.00,0.02,,,,,,870000,,-1.4
29,May 14 '91,Burlington,ON,CAN,71,200,R,2009,4,97,Y,22,JORDANSZWARZ,Jordan,Szwarz,PHX,,,RW,26,3,0,3,0.115384615,AHL,0.518518519,-6,25,7,5,12.0%,8.1%,37.3,18,0,2,224.8,8.6,341,13.1,0.66,0,0.00,7.1%,0.0%,7.1%,1,2,33.3%,0.1,30,23,7,7,1,7,8.0,6.1,1.9,1.9,0.3,1.9,19,2,1,1,0,0,-3.4,,, ,,1,10,0,0,1,0,0,0,0%,3,0,0,0,0.00,0.00,4.4,5.2,-5.8,-0.5,0.1,0,-0.4,-0.02,-0.11,,,,,,673353,,-1.6
60,Apr 16 '93,Oulu,,FIN,71,185,L,2011,2,45,Y,20,MARKUSGRANLUND,Markus,Granlund,CGY,,,C,7,2,1,3,0.428571429,AHL,0.884615385,2,9,2,1,22.2%,16.7%,31.7,2,3,2,84.6,12.1,134,19.1,0.63,7,4.73,25.0%,12.5%,37.5%,28,26,51.9%,13,11,3,1,2,2,2,7.8,2.1,0.7,1.4,1.4,1.4,0,0,0,0,0,0,-0.1,,, ,,2,1,0,0,0,0,0,0,0%,3,0.3,0.2,0.5,0.07,0.35,1.5,1.5,2.6,0.7,0.4,0,1.1,0.16,0.78,,,,17,Shoulder,925000,,-0.5
25,May 16 '94,Khabarovsk,,RUS,75,209,L,2012,1,12,Y,19,MIKHAILGRIGORENKO,Mikhail,Grigorenko,BUF,,,C,18,2,1,3,0.166666667,QMJHL,1.636363636,-3,20,6,8,10.0%,5.9%,32.7,12,3,3,205.7,11.4,261,14.5,0.79,10,2.92,14.3%,7.1%,21.4%,53,50,51.5%,9.4,7,6,5,6,7,7,2.0,1.7,1.5,1.7,2.0,2.0,2,1,0,0,0,0,-1.3,,, ,,0,2,0,0,0,0,0,0,0%,2,0,0.2,0.2,0.01,0.06,4.3,3.8,-0.2,-0.5,0.2,0,-0.3,-0.02,-0.09,,,,,,1775000,,-3.4
84,Jul 20 '93,Karlstad,,SWE,75,213,L,2011,1,19,Y,20,OSCARKLEFBOM,Oscar,Klefbom,EDM,,,D,17,1,2,3,0.176470588,AHL,0.208333333,-6,14,6,13,7.1%,3.0%,43.6,5,4,5,268.6,15.8,366,21.5,0.73,14,3.10,5.0%,10.0%,15.0%,0,0,0.0%,0,13,6,25,6,9,3,2.9,1.3,5.6,1.3,2.0,0.7,0,0,0,0,0,0,4.3,,, ,,0,4,0,0,0,0,0,0,0%,4,0.1,0.1,0.2,0.01,0.04,5,5.6,-2.7,0.1,-0.2,0,-0.2,-0.01,-0.04,,,,,,1244167,,-2.4
25,Jul 26 '88,Traverse City,MI,USA,74,205,R,2008,7,184,Y,25,ZACHREDMOND,Zach,Redmond,WPG,,,D,10,1,2,3,0.3,AHL,0.6,1,10,8,12,10.0%,3.3%,27.7,2,2,1,153.3,15.3,189,18.9,0.81,11,4.24,4.8%,9.5%,14.3%,0,0,0.0%,0,11,7,11,8,4,2,4.3,2.7,4.3,3.1,1.6,0.8,0,0,0,0,0,0,2.7,,, ,,0,4,0,0,0,0,0,0,0%,4,0.3,0.4,0.7,0.07,0.27,2.5,2.7,1.1,0.6,0.3,0,1,0.10,0.39,,,,,,715000,,-0.3
29,Feb 19 '91,Binghamton,NY,USA,71,208,L,2009,6,158,Y,22,JERRYD'AMIGO,Jerry,D'Amigo,TOR,,,RW,22,1,2,3,0.136363636,AHL,0.647058824,-1,12,3,5,8.3%,5.0%,22.9,3,2,0,177.0,8.0,262,11.9,0.68,10,3.32,2.7%,5.4%,8.1%,1,3,25.0%,0.2,35,23,4,3,3,6,11.9,7.8,1.4,1.0,1.0,2.0,0,0,0,0,0,0,5.7,,, ,,0,9,0,0,0,0,0,0,0%,3,0,0.1,0.1,0.00,0.03,3.4,4.7,-1.2,-0.3,0.3,0,0,0.00,0.00,,,,,,1082500,,-1.9
42,Feb 25 '92,Stockholm,,SWE,73,160,L,2010,3,90,Y,21,JOAKIMNORDSTROM,Joakim,Nordstrom,CHI,,,C,16,1,2,3,0.1875,SweHL,0.209302326,-2,26,9,11,3.8%,2.2%,30.7,14,3,2,187.0,11.7,295,18.4,0.63,34,10.91,3.3%,6.7%,10.0%,10,17,37.0%,2.8,24,17,7,9,2,9,7.7,5.5,2.2,2.9,0.6,2.9,2,1,0,0,0,0,-0.3,,, ,,1,6,0,0,0,0,0,0,0%,5,-0.1,0.1,0,0.00,0.00,3.2,4.1,-3.6,-0.2,0.3,0,0.1,0.01,0.03,,,,,,766667,,-1.2
55,May 18 '90,Roseau,MN,USA,70,182,L,2008,2,40,Y,23,AARONNESS,Aaron,Ness,NYI,,,D,20,1,2,3,0.15,AHL,0.355263158,-13,23,9,17,4.3%,2.0%,49.7,16,2,4,295.9,14.8,418,20.9,0.71,0,0.00,2.7%,5.4%,8.1%,0,0,0.0%,0,31,14,26,9,7,3,6.3,2.8,5.3,1.8,1.4,0.6,10,5,0,0,0,0,-1.6,,, ,,0,6,0,0,0,0,0,0,0%,1,0.1,-0.5,-0.4,-0.02,-0.08,4.4,5.5,-11.4,0.2,-1.2,0,-1,-0.05,-0.20,,,,,,875000,,-2.5
49,Feb 09 '90,Newmarket,ON,CAN,75,210,L,,,,Y,23,DARRENARCHIBALD,Darren,Archibald,VAN,,,RW/LW,16,1,2,3,0.1875,AHL,0.4,1,11,4,5,9.1%,5.0%,41.9,8,0,1,124.8,7.8,199,12.4,0.63,8,3.85,2.0%,4.0%,6.0%,0,1,0.0%,0.1,25,30,9,4,1,2,12.0,14.4,4.3,1.9,0.5,1.0,0,0,0,0,0,0,3.8,,, ,,0,4,0,0,0,0,0,0,0%,5,0.1,0.2,0.3,0.02,0.14,3.2,3.1,1.6,-0.2,0.5,0,0.3,0.02,0.14,,,,,,660000,,-0.9
